Program Kodu,Üniversite İsmi,Program İsmi,Başarı Sırası,Başarı Puanı
106951264,KOCAELİ ÜNİVERSİTESİ,"KANDIRA MESLEK YÜKSEKOKULU
Halkla İlişkiler ve Tanıtım
(2 Yıllık)",1.376.016,261.38188
107350842,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,"BUCAK EMİN GÜLMEZ TEKNİK BİLİMLER MESLEK YÜKSEKOKULU
Grafik Tasarımı
(2 Yıllık)",1.376.750,261.32963
106051237,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,"AFŞİN MESLEK YÜKSEKOKULU
Kimya Teknolojisi
(2 Yıllık)",1.377.203,261.29964
112370833,KAYSERİ ÜNİVERSİTESİ,"ORGANİZE SANAYİ BÖLGESİ MESLEK YÜKSEKOKULU
Polimer Teknolojisi
(2 Yıllık)",1.377.291,261.29407
109751345,BURSA ULUDAĞ ÜNİVERSİTESİ,"KELES MESLEK YÜKSEKOKULU
İşletme Yönetimi
(2 Yıllık)",1.377.627,261.27089
107450868,MERSİN ÜNİVERSİTESİ,"ERDEMLİ MESLEK YÜKSEKOKULU
Turizm Animasyonu
(2 Yıllık)",1.377.630,261.27077
101090531,ANADOLU ÜNİVERSİTESİ (ESKİŞEHİR),"AÇIKÖĞRETİM FAKÜLTESİ
Sosyal Medya Yöneticiliği (Açıköğretim)
(2 Yıllık)",1.378.066,261.24112
106050936,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,"AFŞİN MESLEK YÜKSEKOKULU
Bilgisayar Programcılığı
(2 Yıllık)",1.378.200,261.23353
100750762,AKDENİZ ÜNİVERSİTESİ (ANTALYA),"SERİK GÜLSÜN-SÜLEYMAN SÜRAL MESLEK YÜKSEKOKULU
Geleneksel El Sanatları
(2 Yıllık)",1.378.296,261.22736
108390130,ORDU ÜNİVERSİTESİ,"TEKNİK BİLİMLER MESLEK YÜKSEKOKULU
Doğalgaz ve Tesisatı Teknolojisi
(2 Yıllık)",1.379.015,261.17974
107751263,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,"ANTAKYA MESLEK YÜKSEKOKULU
Turizm ve Seyahat Hizmetleri
(2 Yıllık)",1.379.132,261.17127
100650145,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,"KAMAN MESLEK YÜKSEKOKULU
Harita ve Kadastro
(2 Yıllık)",1.379.376,261.15599
103250661,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,"SİMAV MESLEK YÜKSEKOKULU
Bankacılık ve Sigortacılık
(2 Yıllık)",1.379.827,261.12605
102150823,BİTLİS EREN ÜNİVERSİTESİ,"SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
Sosyal Güvenlik
(2 Yıllık)",1.380.126,261.10615
102751057,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,"ÇAN MESLEK YÜKSEKOKULU
Muhasebe ve Vergi Uygulamaları
(2 Yıllık)",1.380.183,261.10189
203851917,KAPADOKYA ÜNİVERSİTESİ (NEVŞEHİR),"KAPADOKYA MESLEK YÜKSEKOKULU
Sivil Havacılık Kabin Hizmetleri (%50 İndirimli)
(2 Yıllık)",1.380.694,261.06859
105050639,HARRAN ÜNİVERSİTESİ (ŞANLIURFA),"ŞANLIURFA SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
Halkla İlişkiler ve Tanıtım
(2 Yıllık)",1.381.644,260.99943
105190064,HİTİT ÜNİVERSİTESİ (ÇORUM),"SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
Sosyal Güvenlik
(2 Yıllık)",1.381.734,260.9938
105050833,HARRAN ÜNİVERSİTESİ (ŞANLIURFA),"SİVEREK MESLEK YÜKSEKOKULU
Bilgisayar Programcılığı
(2 Yıllık)",1.381.765,260.99161
101550725,BALIKESİR ÜNİVERSİTESİ,"SINDIRGI MESLEK YÜKSEKOKULU
Turizm ve Otel İşletmeciliği
(2 Yıllık)",1.382.020,260.97353
108953193,SELÇUK ÜNİVERSİTESİ (KONYA),"AKÖREN ALİ RIZA ERCAN MESLEK YÜKSEKOKULU
Bankacılık ve Sigortacılık
(2 Yıllık)",1.382.034,260.97283
108350575,ORDU ÜNİVERSİTESİ,"FATSA MESLEK YÜKSEKOKULU
Moda Tasarımı
(2 Yıllık)",1.382.144,260.96519
100850497,AKSARAY ÜNİVERSİTESİ,"AKSARAY SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
Halkla İlişkiler ve Tanıtım
(2 Yıllık)",1.382.501,260.94086
100490226,AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR),"SANDIKLI MESLEK YÜKSEKOKULU
Sağlık Turizmi İşletmeciliği
(2 Yıllık)",1.382.720,260.92533
108150717,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,"BOR MESLEK YÜKSEKOKULU
Elektronik Teknolojisi
(2 Yıllık)",1.382.941,260.9111
107950624,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,"ÇERKEZKÖY MESLEK YÜKSEKOKULU
Halkla İlişkiler ve Tanıtım
(2 Yıllık)",1.383.344,260.88274
106190123,KARABÜK ÜNİVERSİTESİ,"SAFRANBOLU ŞEFİK YILMAZ DİZDAR MESLEK YÜKSEKOKULU
İç Mekan Tasarımı
(2 Yıllık)",1.383.379,260.88061
108050472,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,"MESLEK YÜKSEKOKULU
Alternatif Enerji Kaynakları Teknolojisi
(2 Yıllık)",1.383.390,260.87982
110910308,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,"ASBÜ-KUZEY KIBRIS YERLEŞKESİ (KKTC-LEFKOŞA)
İktisat (İngilizce) (Burslu)
(4 Yıllık)",1.383.842,196.22966
105250267,IĞDIR ÜNİVERSİTESİ,"IĞDIR MESLEK YÜKSEKOKULU
Sağlık Kurumları İşletmeciliği
(2 Yıllık)",1.383.869,260.84868
108090106,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,"GÜLŞEHİR SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
Dış Ticaret
(2 Yıllık)",1.384.449,260.80724
300550726,YAKIN DOĞU ÜNİVERSİTESİ (KKTC-LEFKOŞA),"MESLEK YÜKSEKOKULU
Turizm ve Otel İşletmeciliği (İngilizce) (Burslu)
(2 Yıllık)",1.384.610,260.79717
107951207,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,"MALKARA MESLEK YÜKSEKOKULU
Makine
(2 Yıllık)",1.384.725,260.78913
101290352,ARDAHAN ÜNİVERSİTESİ,"ÇILDIR MESLEK YÜKSEKOKULU
Mahkeme Büro Hizmetleri
(2 Yıllık)",1.384.741,260.7878
101850097,BAYBURT ÜNİVERSİTESİ,"SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
Büro Yönetimi ve Yönetici Asistanlığı
(2 Yıllık)",1.385.232,260.75318
106290229,KARADENİZ TEKNİK ÜNİVERSİTESİ (TRABZON),"ARSİN MESLEK YÜKSEKOKULU
Doğalgaz ve Tesisatı Teknolojisi
(2 Yıllık)",1.385.239,260.75246
112572441,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,"TEKNİK BİLİMLER MESLEK YÜKSEKOKULU
Kozmetik Teknolojisi
(2 Yıllık)",1.385.242,260.75236
109751672,BURSA ULUDAĞ ÜNİVERSİTESİ,"TEKNİK BİLİMLER MESLEK YÜKSEKOKULU
Et ve Ürünleri Teknolojisi
(2 Yıllık)",1.385.304,260.74735
100490347,AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR),"BOLVADİN MESLEK YÜKSEKOKULU
Yenilenebilir Enerji Teknikerliği
(2 Yıllık)",1.385.357,260.74378
101050809,ANADOLU ÜNİVERSİTESİ (ESKİŞEHİR),"AÇIKÖĞRETİM FAKÜLTESİ
Fotoğrafçılık ve Kameramanlık (Açıköğretim)
(2 Yıllık)",1.385.447,260.73756
